Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDQ07,OUT019,411.6057
FDC22,OUT017,560.44226
FDZ56,OUT046,191.97897
FDZ40,OUT019,830.32526
FDS46,OUT027,698.30786
DRD24,OUT045,1992.9685
FDV45,OUT017,655.5599
FDL26,OUT045,4129.33
FDA56,OUT018,4288.9976
FDN27,OUT046,1335.9258
FDM20,OUT049,2935.6174
FDO16,OUT017,2876.115
FDL03,OUT035,2863.1418
FDE58,OUT046,2681.6616
FDI02,OUT027,2929.6956
NCC55,OUT019,4550.3857
FDR03,OUT018,3017.6206
FDB14,OUT017,2636.4302
FDR45,OUT013,2799.3308
NCN07,OUT017,4034.674
FDM51,OUT019,355.54953
FDT52,OUT027,1576.4426
FDL26,OUT046,333.5855
NCZ42,OUT046,1726.6957
DRI47,OUT019,2710.1428
FDW40,OUT013,2859.7383
FDN34,OUT046,2564.7087
FDS01,OUT035,2798.7034
NCG55,OUT045,2509.338
FDC11,OUT035,3341.826
FDX35,OUT018,3217.5623
NCB06,OUT046,3192.9517
FDR09,OUT019,2922.3323
FDC53,OUT017,3822.7886
FDY45,OUT013,5795.3066
FDA22,OUT010,1904.0219
FDE02,OUT035,2852.1677
FDW21,OUT045,2690.4856
FDV34,OUT046,223.11504
FDS59,OUT049,1489.9834
NCW17,OUT017,1342.1162
NCK54,OUT046,1608.0173
FDG17,OUT019,1329.9133
FDG35,OUT017,334.93564
FDD08,OUT010,1553.3759
NCO07,OUT017,1612.8784
FDJ10,OUT010,3464.6506
FDW36,OUT017,3313.231
FDW21,OUT010,3763.1208
FDY19,OUT017,5277.704
DRE03,OUT013,3021.76
NCC55,OUT049,1431.2427
FDH52,OUT010,237.85793
FDO09,OUT017,1819.3624
FDU43,OUT045,3095.1907
FDX09,OUT010,2912.3013
FDH40,OUT019,2899.4788
FDW58,OUT017,4531.2153
FDC47,OUT017,2998.2864
NCR41,OUT035,2993.6174
DRG49,OUT035,2781.0288
FDC52,OUT027,362.36615
FDY13,OUT046,2858.633
FDY35,OUT013,2943.919
FDI35,OUT017,4326.2744
NCU18,OUT049,2872.3154
FDY33,OUT018,2795.1187
FDC15,OUT027,2869.537
FDU01,OUT049,2441.4087
NCU42,OUT046,2468.4243
NCV29,OUT018,301.15408
NCY30,OUT017,2565.2148
FDQ46,OUT049,2361.0183
FDG58,OUT027,2421.79
FDK33,OUT017,1588.214
NCD07,OUT045,1609.1144
NCX29,OUT027,1526.9125
NCT42,OUT013,1403.3339
DRN59,OUT035,1986.6746
FDI44,OUT035,1664.3134
FDA45,OUT049,342.0775
FDP31,OUT045,1730.0946
FDY01,OUT046,1965.1615
FDT09,OUT018,1894.8228
DRH03,OUT027,1953.0103
FDA36,OUT018,2093.4258
NCF31,OUT017,1805.096
FDG14,OUT049,1795.2102
FDG28,OUT027,396.22202
FDU14,OUT049,1989.0945
FDY47,OUT019,439.40262
FDI56,OUT049,681.73413
DRD01,OUT013,770.449
FDM22,OUT046,659.68445
FDH33,OUT013,1005.1466
DRZ24,OUT013,1866.1418
NCQ38,OUT046,2059.4326
FDO16,OUT027,2037.7589
FDU07,OUT027,1771.347
NCB07,OUT013,3453.0127
FDU48,OUT045,1866.0669
NCM43,OUT045,4063.7207
FDR31,OUT010,406.30606
DRK49,OUT018,3771.874
NCI30,OUT010,1013.68195
DRD60,OUT017,2905.4946
NCG19,OUT046,351.96872
FDH12,OUT035,3861.0703
FDM32,OUT035,2460.5842
FDM27,OUT035,2874.4116
NCU53,OUT027,2999.861
NCQ18,OUT046,2798.0454
FDS10,OUT013,2883.9512
FDB33,OUT027,4446.7407
FDI12,OUT013,464.3513
NCW42,OUT013,508.76434
NCC06,OUT018,3298.846
FDW02,OUT017,813.7469
NCD43,OUT017,3236.9304
FDM57,OUT018,3517.9836
FDA58,OUT017,3565.495
FDK56,OUT046,3685.254
FDP52,OUT045,2220.795
FDW20,OUT018,2163.7405
FDS52,OUT049,2679.731
NCT29,OUT018,2870.9805
NCL54,OUT013,352.01437
FDC05,OUT045,2000.0751
FDF34,OUT035,2034.8065
FDP03,OUT027,1844.2235
FDD32,OUT010,5313.913
FDZ10,OUT045,3542.202
FDZ40,OUT035,3777.4333
FDD51,OUT018,604.6935
NCY30,OUT019,209.14207
FDP58,OUT017,551.8908
FDV49,OUT017,3934.833
FDY24,OUT019,5360.736
NCO55,OUT017,3835.5867
FDR13,OUT017,1826.3424
FDS51,OUT017,1535.9846
FDP26,OUT045,2802.8508
NCB54,OUT027,426.0127
FDF32,OUT017,3090.2458
FDN31,OUT018,2981.8682
DRM48,OUT017,1813.9498
FDN20,OUT049,1758.7906
DRL01,OUT046,2693.2766
FDV56,OUT049,2970.141
DRH13,OUT027,2753.1592
FDA03,OUT017,4423.5166
FDF47,OUT027,4062.5576
FDX32,OUT046,5523.8267
FDX57,OUT049,395.59402
NCA30,OUT045,3262.211
FDO49,OUT013,3102.544
FDL04,OUT019,3129.6572
DRM48,OUT035,3200.578
FDR16,OUT013,3227.5115
NCC19,OUT018,1740.836
NCE42,OUT045,1805.8927
FDY24,OUT017,1679.5538
FDH19,OUT049,2366.651
FDJ46,OUT013,3704.5608
FDN45,OUT010,2427.1223
FDY08,OUT035,5294.3545
FDZ37,OUT035,407.33603
NCT30,OUT045,3748.4124
DRY23,OUT018,3638.3267
NCZ30,OUT018,914.2311
FDC44,OUT018,3718.9836
FDB45,OUT035,3742.8623
FDY04,OUT013,652.4644
FDM27,OUT046,209.4137
FDZ43,OUT017,886.48663
FDT39,OUT019,703.71246
NCC06,OUT019,866.73126
FDL15,OUT027,2659.6494
FDL57,OUT017,2735.2778
FDU08,OUT046,4022.4094
FDK40,OUT017,1269.1759
FDQ12,OUT010,1495.812
FDS48,OUT017,1508.1412
FDP09,OUT045,3193.198
FDW21,OUT049,380.60825
FDY25,OUT035,4658.698
DRE13,OUT017,1001.251
FDV43,OUT019,206.06926
FDD22,OUT045,983.76514
FDM46,OUT019,948.327
NCO30,OUT010,1410.2302
FDM25,OUT046,1673.9299
NCN41,OUT049,1607.8027
FDU24,OUT045,1365.7167
FDZ50,OUT046,2597.3633
FDP45,OUT013,1159.173
NCM54,OUT045,1156.4148
FDW10,OUT019,2220.368
FDP20,OUT017,268.45233
FDK32,OUT046,453.1124
FDN52,OUT049,685.41907
FDM58,OUT045,2959.3608
FDZ46,OUT027,2998.8608
NCA18,OUT018,3132.3608
FDD35,OUT046,2487.6843
NCK31,OUT035,2505.232
FDI40,OUT027,2688.392
FDT50,OUT019,3575.1619
NCT06,OUT046,3654.701
FDT31,OUT035,3448.6875
FDT45,OUT049,3350.7144
FDT13,OUT045,244.87982
FDO50,OUT045,1949.2661
NCU18,OUT010,1214.014
NCR54,OUT049,2374.0066
NCO18,OUT018,1439.6785
FDU09,OUT045,1402.8658
FDT13,OUT018,317.2814
FDE09,OUT046,1880.3589
NCK53,OUT019,3422.0894
FDG45,OUT049,352.04187
DRH15,OUT035,4019.403
FDO21,OUT019,2638.3137
FDD14,OUT027,2503.7593
FDC09,OUT046,2600.613
FDH45,OUT027,355.712
FDV32,OUT046,2329.3403
FDG12,OUT035,1599.0776
FDS32,OUT013,1633.2683
NCL55,OUT018,1845.8492
DRE01,OUT035,1801.1086
DRE15,OUT049,1626.9545
NCL42,OUT045,2802.4246
FDP31,OUT013,4298.483
FDN33,OUT018,2866.9766
FDZ59,OUT046,2730.4414
FDE45,OUT010,305.3502
FDJ07,OUT013,684.5708
FDQ45,OUT018,775.048
FDM33,OUT027,894.43567
FDO15,OUT010,5496.9624
FDM46,OUT013,3921.8706
FDR03,OUT045,3929.3638
FDY49,OUT018,3991.565
FDQ60,OUT045,5161.7173
FDW10,OUT049,3761.258
FDO51,OUT049,903.1807
FDJ40,OUT018,3605.164
FDS20,OUT018,2688.3699
FDU45,OUT013,2454.4478
FDV02,OUT035,2599.0073
FDN09,OUT046,2500.5288
NCM55,OUT027,2848.7473
FDN23,OUT018,2580.9656
FDY31,OUT010,2915.4714
FDW03,OUT010,2007.6229
FDD14,OUT046,677.22577
FDV23,OUT017,651.40106
DRI03,OUT045,837.94507
FDN13,OUT035,222.89508
FDF45,OUT027,3377.9927
FDU46,OUT035,3152.1562
FDB57,OUT049,619.20435
FDV12,OUT049,565.4464
FDQ58,OUT013,3643.3362
NCA18,OUT017,3490.5405
FDH52,OUT049,2395.6294
FDM24,OUT018,1458.6989
NCP43,OUT027,2901.494
NCO18,OUT019,1540.8904
FDM32,OUT017,2222.818
NCL07,OUT017,2240.3792
FDK03,OUT013,354.08774
FDP59,OUT017,2508.3289
FDQ24,OUT049,2552.2947
FDQ16,OUT018,2438.6252
FDU44,OUT013,351.4595
FDH28,OUT010,251.68802
FDV28,OUT019,2605.896
FDM22,OUT045,890.9282
FDR56,OUT046,1032.8341
FDV39,OUT049,748.0485
FDU37,OUT019,795.8154
FDQ11,OUT010,214.23932
FDX02,OUT045,652.56476
NCS42,OUT018,1308.4874
FDY57,OUT027,1354.4198
FDB21,OUT049,1623.6464
FDE28,OUT017,1570.8577
FDQ55,OUT017,1525.0454
FDA48,OUT049,1367.0598
FDZ19,OUT045,3258.0715
NCC43,OUT045,1659.7915
NCV18,OUT046,1710.9551
NCA42,OUT018,3546.0933
FDY45,OUT046,3306.5618
NCC30,OUT045,3590.6165
FDM57,OUT013,3935.5122
FDL09,OUT010,3671.274
FDB09,OUT027,3700.5737
FDT44,OUT035,3494.098
NCT06,OUT027,2602.308
FDX26,OUT049,2758.4146
FDK32,OUT013,2537.0408
DRA12,OUT046,2908.665
FDO46,OUT010,2735.3818
FDE52,OUT013,2766.5435
NCH42,OUT045,371.5423
FDV08,OUT035,354.09064
FDB47,OUT018,2609.4775
FDC28,OUT010,2876.9607
FDD22,OUT046,2943.016
FDS07,OUT027,1663.6638
DRI13,OUT045,1843.4019
FDG32,OUT018,1772.4114
FDU14,OUT017,3069.009
FDD28,OUT019,3092.5354
NCP41,OUT017,3200.733
FDS08,OUT049,3058.0798
FDX47,OUT045,395.98373
FDC53,OUT019,2786.2075
FDQ19,OUT035,236.89851
FDL14,OUT045,1592.5521
FDM33,OUT019,1411.8547
FDA51,OUT045,1210.3173
FDZ27,OUT018,1161.5496
FDT04,OUT046,1304.1732
DRC13,OUT049,698.66095
FDR16,OUT027,611.2752
FDQ03,OUT027,672.7231
FDE38,OUT035,2247.7246
DRH23,OUT027,347.43106
FDT11,OUT019,2683.7268
FDD09,OUT035,3374.6785
FDR40,OUT045,4771.679
FDX07,OUT017,1803.8824
FDR07,OUT035,1918.69
FDA51,OUT017,1847.5309
FDT59,OUT019,1941.5405
FDF20,OUT017,1993.207
FDR13,OUT045,3804.7097
FDY26,OUT049,387.86108
FDW04,OUT017,3973.7546
FDK52,OUT017,1566.8806
FDN60,OUT049,4191.4517
FDM09,OUT019,2682.1814
FDP46,OUT049,2767.3206
FDB50,OUT019,2875.4104
NCQ29,OUT049,2046.1055
FDP16,OUT027,270.58023
FDX33,OUT018,2030.2228
FDP07,OUT010,2160.745
FDN22,OUT046,3059.5657
FDF39,OUT049,2713.194
FDS21,OUT017,4343.244
NCM42,OUT013,1223.7428
FDK50,OUT019,1447.77
DRF13,OUT027,1488.8154
FDH35,OUT018,1644.9115
FDP60,OUT018,1483.3695
DRJ49,OUT027,1660.8146
NCT42,OUT019,522.7096
FDE38,OUT049,6027.661
FDI04,OUT049,2813.0042
NCH54,OUT045,2753.1328
FDT56,OUT049,2683.0054
DRD15,OUT018,2017.8523
FDV58,OUT013,773.7723
FDP21,OUT049,298.8444
FDH05,OUT013,2962.1982
FDR10,OUT027,515.13025
NCP06,OUT045,2844.4937
FDF33,OUT049,2804.9902
DRK37,OUT013,2980.6292
DRH49,OUT045,198.14731
FDT58,OUT013,649.4484
FDD41,OUT018,451.36182
FDP40,OUT018,771.8186
FDM51,OUT027,501.99374
FDO45,OUT010,1906.6035
FDW33,OUT010,743.73236
FDY24,OUT045,1062.7023
FDB10,OUT010,5420.427
FDM40,OUT035,3972.0205
NCI06,OUT017,3831.6023
FDW12,OUT019,1026.176
FDX48,OUT027,897.51044
NCW05,OUT027,992.88745
FDX27,OUT017,1121.4911
DRM37,OUT045,4129.066
FDA38,OUT045,3703.6528
FDR36,OUT046,244.49625
FDZ45,OUT046,1532.2406
FDG05,OUT017,1767.3915
FDK28,OUT013,2964.8184
FDV47,OUT045,343.15805
FDN21,OUT045,2638.9026
FDP20,OUT027,247.02937
FDI35,OUT045,2521.5586
DRY23,OUT013,2065.4443
FDA56,OUT017,2353.3618
FDB09,OUT013,2578.0137
NCO26,OUT027,3121.8877
FDQ49,OUT018,3028.3923
FDI52,OUT027,2764.8074
FDZ44,OUT027,3851.0046
FDZ09,OUT018,4065.1873
FDY03,OUT049,1469.2953
NCG42,OUT017,1248.1819
DRI13,OUT027,1345.2869
FDQ32,OUT013,808.89124
FDW16,OUT035,670.242
FDU27,OUT046,576.4294
FDR28,OUT010,3002.224
FDQ49,OUT010,2944.5698
FDS37,OUT046,3120.78
FDW26,OUT018,1931.5863
FDX12,OUT018,3203.7683
NCP06,OUT013,1756.99
FDW45,OUT010,1820.3331
NCN30,OUT049,583.77844
FDN24,OUT049,704.07745
NCL41,OUT027,3955.0515
FDR02,OUT019,393.75983
FDD09,OUT010,3887.356
FDS33,OUT010,5632.9165
FDU22,OUT045,1455.2561
FDI53,OUT013,1347.2518
DRH01,OUT049,1520.157
FDX32,OUT013,1367.985
NCP30,OUT018,238.52007
FDB60,OUT045,1622.1079
FDB14,OUT049,2565.2075
NCP02,OUT035,2536.4863
FDJ10,OUT017,2485.706
FDG34,OUT046,2145.8076
NCB18,OUT017,2039.5898
FDM16,OUT049,2182.521
FDW25,OUT018,1996.352
FDB35,OUT010,5824.054
DRN11,OUT013,2488.1328
FDF41,OUT019,2402.6843
FDH16,OUT045,656.8074
NCQ50,OUT018,291.50998
DRH23,OUT018,292.92505
DRJ37,OUT013,627.3662
DRJ24,OUT027,986.11536
FDY16,OUT035,2296.9949
FDQ27,OUT045,771.1711
FDZ33,OUT045,1687.5635
FDF29,OUT045,1578.4281
FDA08,OUT049,2873.4304
FDG31,OUT046,1298.1385
FDE34,OUT019,1565.6066
NCR30,OUT027,1602.4668
FDV33,OUT035,202.85542
DRZ24,OUT018,585.61597
NCL54,OUT035,237.62401
FDR12,OUT049,3485.4546
NCC54,OUT046,330.77316
DRN59,OUT013,3271.321
FDX50,OUT019,5072.3105
FDV31,OUT027,3491.7896
NCA29,OUT027,3336.3079
FDW60,OUT049,3494.3723
FDX08,OUT017,2561.6814
DRD49,OUT013,2674.8005
FDD33,OUT046,1180.7358
FDW35,OUT013,1480.0468
FDJ36,OUT017,310.509
FDV51,OUT035,2888.8948
FDW36,OUT046,2890.419
FDH35,OUT046,3030.0989
NCS30,OUT027,2841.001
FDN49,OUT017,2897.506
FDL08,OUT018,1210.5018
FDI09,OUT013,1401.357
FDP19,OUT018,1480.7509
FDU21,OUT010,2277.6133
NCP41,OUT045,3996.9338
FDY10,OUT013,2615.9246
FDP12,OUT018,2444.6045
NCN26,OUT049,2966.2456
FDK44,OUT013,3360.9043
FDC28,OUT049,2888.9436
FDJ41,OUT027,1533.7642
NCT29,OUT035,1635.7816
NCH42,OUT019,5602.483
FDU60,OUT018,4076.7332
FDS02,OUT045,4044.1807
FDC51,OUT046,535.8948
FDU03,OUT013,675.95197
FDX39,OUT045,526.60077
NCY05,OUT010,4542.8726
NCL06,OUT027,3040.08
FDD32,OUT035,2928.7156
NCN41,OUT045,583.9105
NCX53,OUT049,2958.75
FDU57,OUT019,3634.6453
FDQ23,OUT046,3590.116
FDQ52,OUT045,402.98013
FDC14,OUT045,3834.0264
FDY09,OUT035,5313.1265
FDQ28,OUT045,3698.9468
FDV25,OUT046,2590.6357
FDJ07,OUT035,2739.994
DRB25,OUT049,2623.5728
FDK52,OUT019,1240.7712
FDY52,OUT027,1273.4359
FDB28,OUT046,314.83484
FDT36,OUT035,552.3572
FDV25,OUT017,251.22592
NCN07,OUT027,2326.3152
FDC57,OUT017,2415.0828
FDQ03,OUT018,3853.131
FDU23,OUT017,2541.1794
NCX41,OUT035,2362.1562
NCD06,OUT035,1722.5907
FDW08,OUT045,980.2952
NCU29,OUT017,821.6483
NCE06,OUT013,2352.5723
FDV52,OUT010,2003.4573
FDB02,OUT017,1969.0033
NCR18,OUT045,4281.0454
FDK16,OUT049,2806.0613
NCQ29,OUT010,1971.1305
FDZ01,OUT019,671.59686
FDW27,OUT035,478.5408
FDD17,OUT018,422.1845
FDW39,OUT013,789.0563
DRH59,OUT045,690.8548
FDS52,OUT013,559.1592
FDU40,OUT027,1843.5214
NCF54,OUT013,1671.2174
FDH46,OUT045,3531.5015
NCP14,OUT049,1895.9236
FDH50,OUT049,2259.405
DRF15,OUT010,2103.783
FDV27,OUT027,3663.1921
NCJ06,OUT049,1535.8071
FDN02,OUT018,2937.5547
FDQ51,OUT049,327.20715
FDQ07,OUT017,1417.3918
FDS45,OUT049,4050.869
NCJ06,OUT045,5664.3438
FDD36,OUT035,4171.6797
FDY25,OUT045,3883.5972
FDU52,OUT046,4090.462
DRK47,OUT017,1109.1482
NCL30,OUT017,4218.0894
FDN22,OUT035,5399.399
NCF30,OUT027,3834.172
FDK03,OUT035,3756.3325
FDT45,OUT017,3868.7454
NCC54,OUT027,2587.7402
FDP08,OUT018,2636.3665
FDU44,OUT046,2945.1428
DRG39,OUT035,3231.309
FDU32,OUT049,3096.819
FDY27,OUT049,3142.8992
NCP54,OUT013,4615.124
NCZ41,OUT049,582.80804
DRL49,OUT013,531.6872
FDI05,OUT018,303.10715
FDY56,OUT045,543.6828
DRC13,OUT013,577.52954
NCV29,OUT017,2873.5974
FDR24,OUT049,4380.852
FDZ34,OUT018,2913.8696
FDP37,OUT035,2779.2942
FDX08,OUT027,1981.5847
FDS57,OUT045,2149.528
NCG18,OUT049,2050.2583
FDK25,OUT018,2230.0745
FDH53,OUT049,2283.2344
DRI59,OUT018,4207.4966
FDA52,OUT046,4163.8843
FDT20,OUT010,4129.53
FDE36,OUT019,4287.5947
FDI24,OUT017,1447.821
FDB28,OUT018,1069.5531
FDV11,OUT017,4274.76
FDP01,OUT046,4228.6294
FDD34,OUT027,329.30002
FDJ50,OUT027,1386.0836
FDZ44,OUT013,4027.6248
DRO59,OUT035,1912.129
DRB48,OUT045,1949.9347
FDR21,OUT018,1821.7892
NCE42,OUT010,1867.705
FDO23,OUT046,3158.157
NCE30,OUT018,1563.3274
FDQ22,OUT035,1773.6826
FDY01,OUT045,1763.2593
FDS08,OUT017,1940.9578
FDG28,OUT018,1611.2734
FDQ51,OUT018,1545.3337
FDB05,OUT017,4621.082
FDO56,OUT049,3150.9932
FDE02,OUT018,2908.9182
FDN45,OUT017,3034.2222
FDS09,OUT013,2600.9822
NCA54,OUT018,346.8498
FDP09,OUT010,4021.6243
FDC53,OUT045,2420.3584
NCM55,OUT017,2484.882
FDL09,OUT018,2538.2375
FDA11,OUT019,2247.604
FDA50,OUT045,2290.458
FDC23,OUT017,2380.5671
FDE22,OUT049,3652.2698
FDD23,OUT046,388.3204
NCA29,OUT049,3548.7695
FDK38,OUT046,3484.2166
DRC13,OUT046,1500.7363
NCP43,OUT049,1517.4863
FDX28,OUT049,232.92622
FDF08,OUT049,2891.822
FDZ33,OUT046,2859.7168
FDD10,OUT049,2907.4812
FDO58,OUT017,359.4978
FDI50,OUT017,3071.7456
FDO58,OUT045,3017.1287
FDX08,OUT013,3294.062
NCK17,OUT010,3166.515
FDF39,OUT035,404.26562
FDU45,OUT010,3877.3508
NCJ18,OUT018,2452.392
DRC27,OUT019,3332.387
DRC25,OUT035,218.03325
FDU59,OUT035,1281.1643
FDU28,OUT035,854.17664
NCP30,OUT046,920.7411
FDB39,OUT018,191.79825
FDE41,OUT013,1027.6292
DRH11,OUT010,2509.646
FDA58,OUT045,2150.8381
FDU50,OUT046,2362.1113
FDM34,OUT013,3775.681
FDM44,OUT027,277.45386
FDR39,OUT045,1188.0605
FDM25,OUT045,1333.1024
FDQ49,OUT049,1110.8671
DRH25,OUT018,1298.2927
FDM09,OUT027,1736.0819
FDL44,OUT019,1309.028
NCR42,OUT018,1268.9319
DRL59,OUT046,1547.1453
FDX43,OUT013,1311.4832
DRK47,OUT010,2519.9995
FDU48,OUT018,2861.9802
FDY12,OUT045,2748.859
NCN43,OUT018,2790.109
NCM55,OUT018,405.12018
FDQ21,OUT027,4048.006
FDX13,OUT035,1101.3848
NCK30,OUT027,4170.9604
FDG20,OUT049,4061.1147
DRG27,OUT017,5655.0713
FDY14,OUT018,4213.394
FDP59,OUT035,3661.7822
FDU60,OUT017,3729.4177
NCC18,OUT019,411.93515
DRJ39,OUT017,1612.8326
FDS07,OUT049,1832.5665
FDM08,OUT027,3016.2136
FDP51,OUT045,1622.551
FDU16,OUT035,5282.119
FDH12,OUT013,951.91565
DRE48,OUT010,2965.029
NCL42,OUT027,660.279
FDR21,OUT045,3067.9963
NCW29,OUT035,911.542
FDO11,OUT013,1030.5514
NCM31,OUT049,227.0028
FDV35,OUT019,1444.6594
FDF58,OUT017,1078.8003
NCE43,OUT049,1082.6799
FDA02,OUT035,3182.1152
DRL37,OUT010,2036.1901
FDR24,OUT018,2063.5676
FDW59,OUT049,1702.7651
FDS22,OUT049,1813.6697
FDW24,OUT017,1977.864
FDU24,OUT035,2264.6772
FDA21,OUT027,2516.276
FDH58,OUT027,3928.7131
FDW36,OUT018,3549.689
FDI45,OUT027,3660.6538
FDU01,OUT018,3579.333
FDF35,OUT027,2359.1997
FDU43,OUT019,2249.9265
FDE24,OUT019,2445.5134
